from_community,from_id,to_community,to_id,crow_km,bike_reachable,bike_reachable_without_flying,n_options,n_options_with_bike,n_options_without_flying,boardings,modes,operators,journey_km,schedule_cautions,everyday_option_exists,recommended_summary,recommended_boardings,recommended_modes,recommended_operators,recommended_journey_km,recommended_schedule_cautions
Mayne Island,mayne-island,Duncan (Cowichan Valley),duncan,29,TRUE,TRUE,9,9,9,3,ferry; ferry; local-bus,BC Ferries; BC Transit,61.4,,TRUE,"Ferry, city bus, then city bus.",3,ferry; local-bus; local-bus,BC Ferries; BC Transit,96.3,
Mayne Island,mayne-island,Enderby,enderby,356,TRUE,TRUE,7,7,6,5,ferry; local-bus; skytrain; bus; local-bus,BC Ferries; TransLink; Rider Express; BC Transit,,limited,TRUE,"Ferry, city bus, SkyTrain, coach bus, then coach bus.",5,ferry; local-bus; skytrain; bus; bus,BC Ferries; TransLink; Ebus,,
Mayne Island,mayne-island,Fernie,fernie,605,TRUE,TRUE,5,5,4,5,ferry; local-bus; skytrain; bus; bus,BC Ferries; TransLink; Mountain Man Mike's,,limited,FALSE,"Ferry, city bus, SkyTrain, coach bus, then coach bus.",5,ferry; local-bus; skytrain; bus; bus,BC Ferries; TransLink; Mountain Man Mike's,,limited
Mayne Island,mayne-island,Field,field,564,TRUE,TRUE,7,7,6,4,ferry; local-bus; skytrain; bus,BC Ferries; TransLink; Rider Express,,,TRUE,"Ferry, city bus, SkyTrain, then coach bus.",4,ferry; local-bus; skytrain; bus,BC Ferries; TransLink; Rider Express,,
Mayne Island,mayne-island,Gabriola Island,gabriola-island,54,TRUE,TRUE,6,6,5,5,ferry; ferry; local-bus; local-bus; ferry,BC Ferries; BC Transit,114.2,,TRUE,"Ferry, city bus, city bus, city bus, then ferry.",5,ferry; local-bus; local-bus; local-bus; ferry,BC Ferries; BC Transit,156.0,
Mayne Island,mayne-island,Galiano Island,galiano-island,4,TRUE,TRUE,1,1,1,1,ferry,BC Ferries,3.8,,TRUE,One ferry does it.,1,ferry,BC Ferries,3.8,
Mayne Island,mayne-island,Gibsons,gibsons,63,TRUE,TRUE,8,8,7,5,ferry; local-bus; skytrain; bus; ferry,BC Ferries; TransLink; Squamish Connector,,seasonal,TRUE,"Ferry, city bus, SkyTrain, coach bus, then ferry.",5,ferry; local-bus; skytrain; bus; ferry,BC Ferries; TransLink; Squamish Connector,,seasonal
Mayne Island,mayne-island,Golden,golden,529,TRUE,TRUE,5,5,4,4,ferry; local-bus; skytrain; bus,BC Ferries; TransLink; Ebus,,,TRUE,"Ferry, city bus, SkyTrain, then coach bus.",4,ferry; local-bus; skytrain; bus,BC Ferries; TransLink; Ebus,,
Mayne Island,mayne-island,Haida Gwaii,haida-gwaii,779,TRUE,TRUE,6,5,1,6,ferry; local-bus; skytrain; intercity-train; intercity-train; ferry,BC Ferries; TransLink; VIA Rail,,limited,FALSE,"Ferry, city bus, city bus, city bus, city bus, rental car, ferry, then ferry.",8,ferry; local-bus; local-bus; local-bus; local-bus; rental-car; ferry; ferry,BC Ferries; BC Transit; National Car & Truck Rental (Vancouver Island),1062.5,limited
Mayne Island,mayne-island,Harrison Hot Springs,harrison-hot-springs,123,TRUE,TRUE,6,6,5,5,ferry; local-bus; skytrain; local-bus; local-bus,BC Ferries; TransLink; BC Transit,,,TRUE,"Ferry, city bus, SkyTrain, city bus, then city bus.",5,ferry; local-bus; skytrain; local-bus; local-bus,BC Ferries; TransLink; BC Transit,,
